"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031294","GO:0031294","lymphocyte costimulation","6/814","47/18903",0.0149324045719205,0.0778340366564434,0.0586208309426096,"AKT1/CAV1/CD24/LYN/PIK3CA/YES1",6
"GO:0071470","GO:0071470","cellular response to osmotic stress","6/814","47/18903",0.0149324045719205,0.0778340366564434,0.0586208309426096,"CAB39/DDX3X/ERRFI1/XRCC5/YBX3/ZFP36L1",6
"GO:0090224","GO:0090224","regulation of spindle organization","6/814","47/18903",0.0149324045719205,0.0778340366564434,0.0586208309426096,"CHMP1B/CHMP3/CHMP4C/CHMP5/CLTC/HNRNPU",6
"GO:0045137","GO:0045137","development of primary sexual characteristics","18/814","238/18903",0.0149843249435409,0.078026484841141,0.0587657736050358,"ADAMTS1/ATRX/CEBPB/CSDE1/FOXC1/GATA6/HSPA5/MEA1/NCOA4/NR2F2/RARA/RHOBTB3/SDC1/SF1/SOX9/UBB/VEGFA/YBX3",18
"GO:1901796","GO:1901796","regulation of signal transduction by p53 class mediator","10/814","105/18903",0.0150689791466641,0.0783888295209467,0.0590386740882987,"AKT1/CD44/DDX5/HEXIM1/HNRNPK/NPM1/PTTG1IP/SPRED2/TAF9/UBB",10
"GO:0045669","GO:0045669","positive regulation of osteoblast differentiation","8/814","75/18903",0.0151553201706775,0.0787592163115526,0.0593176315003539,"ATRAID/CEBPB/CEBPD/CTNNB1/IFITM1/IL6ST/WWTR1/YAP1",8
"GO:0090257","GO:0090257","regulation of muscle system process","19/814","256/18903",0.0152157300058835,0.0789942390125809,0.0594946392288039,"ATP1B1/ATP2A2/CALM2/CALM3/CAV1/DSC2/DSG2/DSP/ERRFI1/FOXO1/HSP90AA1/IL6ST/MTPN/ORMDL3/RHOA/ROCK1/SRI/SSTR2/TRPM4",19
"GO:1904019","GO:1904019","epithelial cell apoptotic process","12/814","137/18903",0.0153244812222496,0.079282513042213,0.0597117532817574,"ARF6/CDKN1B/CFLAR/GSN/KRT18/MDK/PDCD4/PRKCI/RB1/TGFBR2/YAP1/ZFP36L1",12
"GO:0045103","GO:0045103","intermediate filament-based process","9/814","90/18903",0.0153460091726861,0.079282513042213,0.0597117532817574,"CSNK1A1/DNAJB6/DSP/KRT18/KRT19/MACF1/PLEC/PPL/VIM",9
"GO:0031623","GO:0031623","receptor internalization","11/814","121/18903",0.0153555062958495,0.079282513042213,0.0597117532817574,"ARF1/CAV1/CD9/CLTC/GRB2/ITGB1/LRPAP1/PICALM/SDCBP/SNX1/VEGFA",11
"GO:0045446","GO:0045446","endothelial cell differentiation","11/814","121/18903",0.0153555062958495,0.079282513042213,0.0597117532817574,"BTG1/CTNNB1/FSTL1/MSN/NR2F2/RAP1A/RBPJ/ROCK1/TJP1/TJP2/VEGFA",11
"GO:0030216","GO:0030216","keratinocyte differentiation","14/814","170/18903",0.0153627014891485,0.079282513042213,0.0597117532817574,"ADAM9/DSP/ERRFI1/FOXC1/PLEC/PPL/RBPJ/REG3A/ROCK1/SFN/TXNIP/UGCG/YAP1/ZFP36L1",14
"GO:0035637","GO:0035637","multicellular organismal signaling","14/814","170/18903",0.0153627014891485,0.079282513042213,0.0597117532817574,"ATP1B1/ATP2A2/CALM2/CALM3/CAV1/DSC2/DSG2/DSP/FLNA/GPR35/PLEC/SRI/TRPM4/YWHAE",14
"GO:0000070","GO:0000070","mitotic sister chromatid segregation","16/814","204/18903",0.0154130907305243,0.0794637244600469,0.059848232954996,"ARID1A/ATRX/BUB3/CHMP1B/CHMP3/CHMP4C/CHMP5/DUSP1/HNRNPU/KPNB1/MAPRE1/PCID2/RAB11A/RAN/RB1/ZNF207",16
"GO:0030324","GO:0030324","lung development","15/814","187/18903",0.0154637186245601,0.079645806222734,0.0599853681298723,"CDC42/CTNNB1/EIF4E/ERRFI1/GATA6/HES1/ITGB6/LTBP3/MAPK1/NFIB/RBPJ/SOX9/TGFBR2/VEGFA/YAP1",15
"GO:0000819","GO:0000819","sister chromatid segregation","18/814","239/18903",0.0155780350296039,0.0801552306864487,0.060369041990927,"ARID1A/ATRX/BUB3/CHMP1B/CHMP3/CHMP4C/CHMP5/CTNNB1/DUSP1/HNRNPU/KPNB1/MAPRE1/PCID2/PHB2/RAB11A/RAN/RB1/ZNF207",18
"GO:0039702","GO:0039702","viral budding via host ESCRT complex","4/814","23/18903",0.0157239740057921,0.0804288227906887,0.0605750983279596,"CHMP1B/CHMP3/CHMP4C/CHMP5",4
"GO:0045048","GO:0045048","protein insertion into ER membrane","4/814","23/18903",0.0157239740057921,0.0804288227906887,0.0605750983279596,"CCDC47/EMC4/EMC7/TRAM1",4
"GO:0051131","GO:0051131","chaperone-mediated protein complex assembly","4/814","23/18903",0.0157239740057921,0.0804288227906887,0.0605750983279596,"APCS/CLU/HSP90AA1/HSP90AB1",4
"GO:0060444","GO:0060444","branching involved in mammary gland duct morphogenesis","4/814","23/18903",0.0157239740057921,0.0804288227906887,0.0605750983279596,"AREG/DDR1/KDM5B/PHB2",4
"GO:0072576","GO:0072576","liver morphogenesis","4/814","23/18903",0.0157239740057921,0.0804288227906887,0.0605750983279596,"CEBPB/CFLAR/MDK/XBP1",4
"GO:0140112","GO:0140112","extracellular vesicle biogenesis","4/814","23/18903",0.0157239740057921,0.0804288227906887,0.0605750983279596,"RAB11A/RAB7A/SDC1/SDCBP",4
"GO:0034763","GO:0034763","negative regulation of transmembrane transport","13/814","154/18903",0.0158334536655208,0.080909259300628,0.0609369398646143,"AKT1/ARL6IP5/CAB39/CALM2/CALM3/CAV1/GPR35/IRS2/SELENOS/SRI/TMBIM6/UBQLN1/YWHAE",13
"GO:0070661","GO:0070661","leukocyte proliferation","24/814","348/18903",0.0161355775803656,0.0823441800655107,0.062017652765906,"AHR/CD24/CD46/CEBPB/CLU/CTNNB1/EMP2/HES1/HLA-DRB1/HMGB1/IL6ST/IRS2/JUNB/LYN/MAPK1/MSN/NCK1/NCK2/NCSTN/PRKAR1A/PTEN/SELENOK/ST6GAL1/TGFBR2",24
"GO:0002761","GO:0002761","regulation of myeloid leukocyte differentiation","11/814","122/18903",0.0162445202705952,0.0823441800655107,0.062017652765906,"APCS/CEBPB/CTNNB1/FOS/HLA-DRB1/LYN/NEDD9/RARA/RB1/TOB2/ZFP36L1",11
"GO:0008286","GO:0008286","insulin receptor signaling pathway","11/814","122/18903",0.0162445202705952,0.0823441800655107,0.062017652765906,"AKT1/AP3S1/FOXO1/GRB2/IRS2/NCK1/NCL/NUCKS1/PIK3CA/SLC39A14/SOCS3",11
"GO:0030278","GO:0030278","regulation of ossification","11/814","122/18903",0.0162445202705952,0.0823441800655107,0.062017652765906,"ATRAID/HIF1A/LTBP3/MAPK1/MDK/MGP/RBPJ/SMAD6/SOX9/TOB2/TRPM4",11
"GO:0048675","GO:0048675","axon extension","11/814","122/18903",0.0162445202705952,0.0823441800655107,0.062017652765906,"CYFIP1/GOLGA4/HSP90AA1/HSP90AB1/ITGB1/MACF1/MAP3K13/RAPH1/RTN4/SEMA3C/VEGFA",11
"GO:0001893","GO:0001893","maternal placenta development","5/814","35/18903",0.0162582119165697,0.0823441800655107,0.062017652765906,"AKT1/JUNB/NR2F2/PRDX3/TMED2",5
"GO:0060914","GO:0060914","heart formation","5/814","35/18903",0.0162582119165697,0.0823441800655107,0.062017652765906,"CTNNB1/EMP2/GNG5/HES1/RBPJ",5
"GO:1903539","GO:1903539","protein localization to postsynaptic membrane","5/814","35/18903",0.0162582119165697,0.0823441800655107,0.062017652765906,"ADAM10/RAB11A/RAB8A/RAP1A/VPS35",5
"GO:0007008","GO:0007008","outer mitochondrial membrane organization","3/814","13/18903",0.0164622818531705,0.0823441800655107,0.062017652765906,"HSP90AA1/TOMM20/TOMM7",3
"GO:0042921","GO:0042921","glucocorticoid receptor signaling pathway","3/814","13/18903",0.0164622818531705,0.0823441800655107,0.062017652765906,"ARID1A/NR3C1/YWHAH",3
"GO:0043379","GO:0043379","memory T cell differentiation","3/814","13/18903",0.0164622818531705,0.0823441800655107,0.062017652765906,"CD46/HLA-DRA/HLA-DRB1",3
"GO:0045040","GO:0045040","protein insertion into mitochondrial outer membrane","3/814","13/18903",0.0164622818531705,0.0823441800655107,0.062017652765906,"HSP90AA1/TOMM20/TOMM7",3
"GO:0051280","GO:0051280","negative regulation of release of sequestered calcium ion into cytosol","3/814","13/18903",0.0164622818531705,0.0823441800655107,0.062017652765906,"CALM2/CALM3/SRI",3
"GO:0098935","GO:0098935","dendritic transport","3/814","13/18903",0.0164622818531705,0.0823441800655107,0.062017652765906,"HNRNPU/KIF5B/STAU1",3
"GO:1903599","GO:1903599","positive regulation of autophagy of mitochondrion","3/814","13/18903",0.0164622818531705,0.0823441800655107,0.062017652765906,"HIF1A/PARK7/SLC25A5",3
"GO:2001046","GO:2001046","positive regulation of integrin-mediated signaling pathway","3/814","13/18903",0.0164622818531705,0.0823441800655107,0.062017652765906,"EMP2/FLNA/LIMS1",3
"GO:2001198","GO:2001198","regulation of dendritic cell differentiation","3/814","13/18903",0.0164622818531705,0.0823441800655107,0.062017652765906,"CEBPB/HLA-B/HMGB1",3
"GO:0032008","GO:0032008","positive regulation of TOR signaling","6/814","48/18903",0.0164625042806865,0.0823441800655107,0.062017652765906,"GOLPH3/LAMTOR3/PIK3CA/RHEB/RRAGC/WAC",6
"GO:0035305","GO:0035305","negative regulation of dephosphorylation","6/814","48/18903",0.0164625042806865,0.0823441800655107,0.062017652765906,"ARPP19/IQGAP1/ROCK1/URI1/YWHAB/YWHAE",6
"GO:0035850","GO:0035850","epithelial cell differentiation involved in kidney development","6/814","48/18903",0.0164625042806865,0.0823441800655107,0.062017652765906,"CD24/CTNNB1/IQGAP1/STAT1/WWTR1/YAP1",6
"GO:0061028","GO:0061028","establishment of endothelial barrier","6/814","48/18903",0.0164625042806865,0.0823441800655107,0.062017652765906,"MSN/RAP1A/ROCK1/TJP1/TJP2/VEGFA",6
"GO:1902003","GO:1902003","regulation of amyloid-beta formation","6/814","48/18903",0.0164625042806865,0.0823441800655107,0.062017652765906,"CLU/IFNGR1/PICALM/ROCK1/RTN4/TMED10",6
"GO:0070507","GO:0070507","regulation of microtubule cytoskeleton organization","13/814","155/18903",0.0166274838325232,0.0830097609374144,0.0625189360790498,"CDKN1B/CHMP1B/CHMP3/CHMP4C/CHMP5/CLTC/HNRNPU/MAPRE1/OCLN/RAC1/RHOA/ROCK1/TAOK1",13
"GO:2001236","GO:2001236","regulation of extrinsic apoptotic signaling pathway","13/814","155/18903",0.0166274838325232,0.0830097609374144,0.0625189360790498,"AKT1/CAV1/CFLAR/DDX3X/IFI6/ITGA6/ITGAV/PAK2/PARK7/PTEN/SKIL/SP100/YAP1",13
"GO:0046824","GO:0046824","positive regulation of nucleocytoplasmic transport","7/814","62/18903",0.0168374796960592,0.0837350430219831,0.0630651834573385,"ANP32B/FLNA/HSP90AA1/HSP90AB1/RAN/SFN/YWHAE",7
"GO:0060038","GO:0060038","cardiac muscle cell proliferation","7/814","62/18903",0.0168374796960592,0.0837350430219831,0.0630651834573385,"FOXC1/GATA6/PRKAR1A/PTEN/RBPJ/TGFBR2/YAP1",7
"GO:0007259","GO:0007259","receptor signaling pathway via JAK-STAT","14/814","172/18903",0.0168532468366044,0.0837350430219831,0.0630651834573385,"ARL2BP/CAV1/CNOT7/HES1/IL6ST/JAK1/LEPROT/LYN/OCIAD1/OCIAD2/PARP9/SOCS3/STAT1/STAT3",14
"GO:1905475","GO:1905475","regulation of protein localization to membrane","14/814","172/18903",0.0168532468366044,0.0837350430219831,0.0630651834573385,"ADAM10/AKT1/ARF6/CLTC/GSN/ITGB1/KIF5B/LYPLA1/PICALM/PRKCI/RAP1A/STOM/TMEM59/ZDHHC7",14
"GO:1990138","GO:1990138","neuron projection extension","14/814","172/18903",0.0168532468366044,0.0837350430219831,0.0630651834573385,"CTNNB1/CYFIP1/DDR1/GOLGA4/HSP90AA1/HSP90AB1/IQGAP1/ITGB1/MACF1/MAP3K13/RAPH1/RTN4/SEMA3C/VEGFA",14
"GO:0006839","GO:0006839","mitochondrial transport","15/814","189/18903",0.0168827076698106,0.0838013791014837,0.0631151445832013,"BNIP3L/CNP/HSP90AA1/LEPROT/LMAN1/SH3GLB1/SLC25A24/SLC25A5/TMEM14C/TOMM20/TOMM7/UBE2D3/UBE2L3/VDAC2/VPS35",15
"GO:0018105","GO:0018105","peptidyl-serine phosphorylation","22/814","313/18903",0.0169846601208313,0.0841307120077109,0.0633631821956535,"AKT1/CAB39/CAV1/CD44/CSNK1A1/CSNK2A1/HSP90AA1/HSP90AB1/MAP3K13/MAPK1/NCK1/NCK2/PAK2/PARK7/PIK3CA/PKN2/PRKCI/PTEN/ROCK1/TGFBR2/TXN/VEGFA",22
"GO:0006997","GO:0006997","nucleus organization","12/814","139/18903",0.0170101074934222,0.0841307120077109,0.0633631821956535,"CHMP1B/CHMP3/CHMP4C/CHMP5/GOLM1/PITPNB/PLEC/RTN4/SELENOF/SERBP1/SF1/TMEM43",12
"GO:1903008","GO:1903008","organelle disassembly","12/814","139/18903",0.0170101074934222,0.0841307120077109,0.0633631821956535,"ATG3/BNIP3L/FUNDC2/HIF1A/KIF5B/NEDD9/PARK7/PHB2/SLC25A5/TOMM7/WDR45B/ZFAND1",12
"GO:0002027","GO:0002027","regulation of heart rate","10/814","107/18903",0.0170137464498485,0.0841307120077109,0.0633631821956535,"ATP2A2/CALM2/CALM3/CAV1/DSC2/DSG2/DSP/SRI/TRPM4/YWHAE",10
"GO:0002224","GO:0002224","toll-like receptor signaling pathway","11/814","123/18903",0.0171715060232144,0.0847496910178,0.0638293672409906,"BIRC3/CAV1/CTSS/DDX3X/HMGB1/LYN/NFKBIA/RSAD2/RTN4/S100A14/UBQLN1",11
"GO:0046887","GO:0046887","positive regulation of hormone secretion","11/814","123/18903",0.0171715060232144,0.0847496910178,0.0638293672409906,"ANO1/GLUL/HIF1A/HLA-DRB1/IRS2/LRRC8A/PSMD9/SERP1/SRI/TM7SF3/TRPM4",11
"GO:0060996","GO:0060996","dendritic spine development","9/814","92/18903",0.017510979597191,0.086343237786339,0.065029549574203,"ACTR2/ARF4/ARF6/CDC42/DHX36/NCK2/PAK2/PDLIM5/PTEN",9
"GO:0034121","GO:0034121","regulation of toll-like receptor signaling pathway","8/814","77/18903",0.0175489462170649,0.0864485021033824,0.0651088295653067,"BIRC3/CAV1/DDX3X/HMGB1/LYN/RSAD2/RTN4/UBQLN1",8
"GO:0090068","GO:0090068","positive regulation of cell cycle process","19/814","260/18903",0.0176294575162696,0.0867629498577431,0.0653456564014892,"ADAMTS1/AKT1/APEX1/ATRX/CDC42/CHMP3/DDX3X/HNRNPU/KMT2E/NPM1/PCID2/PHB2/PKN2/PLSCR1/RAB11A/RB1/RHOA/TMOD3/UBE2B",19
"GO:0006936","GO:0006936","muscle contraction","24/814","351/18903",0.0177127718042308,0.0870905849958495,0.0655924153371278,"ASPH/ATP1B1/ATP2A2/CALM2/CALM3/CAV1/DSC2/DSG2/DSP/FLNA/GSN/HSBP1/HSP90AA1/MAP2K3/ORMDL3/PIK3CA/PPP1R13L/RHOA/ROCK1/SRI/SSTR2/TMOD3/TPM3/TRPM4",24
"GO:0042157","GO:0042157","lipoprotein metabolic process","12/814","140/18903",0.0179034829449645,0.0879410332353583,0.0662329318080098,"APOL1/APOL6/GLUL/ITGAV/LYPLA1/PPM1B/RAB3GAP2/SELENOK/UGCG/WDR45B/ZDHHC20/ZDHHC7",12
"GO:0019882","GO:0019882","antigen processing and presentation","10/814","108/18903",0.0180528861883403,0.0879410332353583,0.0662329318080098,"B2M/CTSL/CTSS/HLA-B/HLA-C/HLA-DRA/HLA-DRB1/HLA-DRB5/PSME1/RAB10",10
"GO:0032526","GO:0032526","response to retinoic acid","10/814","108/18903",0.0180528861883403,0.0879410332353583,0.0662329318080098,"GATA6/IGF2R/IGFBP7/KLF4/LYN/PHB2/RARA/SOX9/YAP1/YES1",10
"GO:0034198","GO:0034198","cellular response to amino acid starvation","6/814","49/18903",0.0180973282473314,0.0879410332353583,0.0662329318080098,"DAP/EIF2AK2/HNRNPL/MAPK1/RRAGC/SH3GLB1",6
"GO:0035987","GO:0035987","endodermal cell differentiation","6/814","49/18903",0.0180973282473314,0.0879410332353583,0.0662329318080098,"CTNNB1/GATA6/GRB2/HSBP1/ITGAV/LAMB3",6
"GO:0043114","GO:0043114","regulation of vascular permeability","6/814","49/18903",0.0180973282473314,0.0879410332353583,0.0662329318080098,"OCLN/PLEC/TJP1/TJP2/VEGFA/YES1",6
"GO:0032944","GO:0032944","regulation of mononuclear cell proliferation","18/814","243/18903",0.0181384741735842,0.0879410332353583,0.0662329318080098,"AHR/CD24/CD46/CEBPB/CTNNB1/HES1/HLA-DRB1/HMGB1/IL6ST/IRS2/LYN/NCK1/NCK2/PRKAR1A/PTEN/SELENOK/ST6GAL1/TGFBR2",18
"GO:0032232","GO:0032232","negative regulation of actin filament bundle assembly","5/814","36/18903",0.0182298821370376,0.0879410332353583,0.0662329318080098,"ARAP1/PAK2/TACSTD2/TJP1/WASF2",5
"GO:0033687","GO:0033687","osteoblast proliferation","5/814","36/18903",0.0182298821370376,0.0879410332353583,0.0662329318080098,"ATRAID/EIF2AK2/ITGAV/JUNB/RHOA",5
"GO:0062237","GO:0062237","protein localization to postsynapse","5/814","36/18903",0.0182298821370376,0.0879410332353583,0.0662329318080098,"ADAM10/RAB11A/RAB8A/RAP1A/VPS35",5
"GO:0070306","GO:0070306","lens fiber cell differentiation","5/814","36/18903",0.0182298821370376,0.0879410332353583,0.0662329318080098,"CDKN1B/KDM5B/SKIL/SPRED2/VIM",5
"GO:0071711","GO:0071711","basement membrane organization","5/814","36/18903",0.0182298821370376,0.0879410332353583,0.0662329318080098,"CAV1/CTSS/ITGB1/LAMB3/SPINT2",5
"GO:0086005","GO:0086005","ventricular cardiac muscle cell action potential","5/814","36/18903",0.0182298821370376,0.0879410332353583,0.0662329318080098,"CAV1/DSC2/DSG2/DSP/TRPM4",5
"GO:1903749","GO:1903749","positive regulation of establishment of protein localization to mitochondrion","5/814","36/18903",0.0182298821370376,0.0879410332353583,0.0662329318080098,"LEPROT/SH3GLB1/TOMM7/UBE2D3/UBE2L3",5
"GO:0022010","GO:0022010","central nervous system myelination","4/814","24/18903",0.0182407487237508,0.0879410332353583,0.0662329318080098,"CLU/MYRF/NCSTN/PTEN",4
"GO:0032291","GO:0032291","axon ensheathment in central nervous system","4/814","24/18903",0.0182407487237508,0.0879410332353583,0.0662329318080098,"CLU/MYRF/NCSTN/PTEN",4
"GO:0036120","GO:0036120","cellular response to platelet-derived growth factor stimulus","4/814","24/18903",0.0182407487237508,0.0879410332353583,0.0662329318080098,"ERRFI1/IQGAP1/SYAP1/YES1",4
"GO:0060706","GO:0060706","cell differentiation involved in embryonic placenta development","4/814","24/18903",0.0182407487237508,0.0879410332353583,0.0662329318080098,"DNAJB6/KRT19/NR2F2/SPINT2",4
"GO:0061162","GO:0061162","establishment of monopolar cell polarity","4/814","24/18903",0.0182407487237508,0.0879410332353583,0.0662329318080098,"CDC42/MSN/PRKCI/RHOA",4
"GO:0071294","GO:0071294","cellular response to zinc ion","4/814","24/18903",0.0182407487237508,0.0879410332353583,0.0662329318080098,"MT1E/MT1G/MT1X/MT2A",4
"GO:0072202","GO:0072202","cell differentiation involved in metanephros development","4/814","24/18903",0.0182407487237508,0.0879410332353583,0.0662329318080098,"CTNNB1/STAT1/WWTR1/YAP1",4
"GO:2001244","GO:2001244","positive regulation of intrinsic apoptotic signaling pathway","7/814","63/18903",0.0182615093932304,0.0879596035773931,0.0662469180912315,"CAV1/NCK1/NCK2/PARK7/SERINC3/SKIL/UBB",7
"GO:0030323","GO:0030323","respiratory tube development","15/814","191/18903",0.0183994955833288,0.0884604214643959,0.0666241098950771,"CDC42/CTNNB1/EIF4E/ERRFI1/GATA6/HES1/ITGB6/LTBP3/MAPK1/NFIB/RBPJ/SOX9/TGFBR2/VEGFA/YAP1",15
"GO:0055001","GO:0055001","muscle cell development","15/814","191/18903",0.0183994955833288,0.0884604214643959,0.0666241098950771,"ACTG1/AKAP13/ATP2A2/CFLAR/HES1/HNRNPU/ITGB1/KRT19/PDLIM5/PLEC/PRKAR1A/SDC1/SORBS2/TMOD3/VEGFA",15
"GO:0006937","GO:0006937","regulation of muscle contraction","14/814","174/18903",0.0184516729143461,0.0886293651896848,0.0667513501357791,"ATP1B1/ATP2A2/CALM2/CALM3/CAV1/DSC2/DSG2/DSP/HSP90AA1/ORMDL3/RHOA/SRI/SSTR2/TRPM4",14
"GO:0046777","GO:0046777","protein autophosphorylation","17/814","226/18903",0.018585551008983,0.0891900704324076,0.0671736461987132,"AKT1/CALM2/CALM3/CAV1/CDK12/DDR1/DDX3X/EIF2AK2/ERRFI1/JUN/LYN/MAP3K13/PAK2/STK24/TAOK1/TAOK3/VEGFA",17
"GO:0000422","GO:0000422","autophagy of mitochondrion","9/814","93/18903",0.0186732151903623,0.0892813101289196,0.067242363524118,"ATG3/BNIP3L/FUNDC2/HIF1A/PARK7/PHB2/SLC25A5/TOMM7/WDR45B",9
"GO:0022406","GO:0022406","membrane docking","9/814","93/18903",0.0186732151903623,0.0892813101289196,0.067242363524118,"AHCYL1/ATP2A2/MSN/RAB10/RAB7A/RAB8A/ROCK1/VAMP3/VMP1",9
"GO:0061726","GO:0061726","mitochondrion disassembly","9/814","93/18903",0.0186732151903623,0.0892813101289196,0.067242363524118,"ATG3/BNIP3L/FUNDC2/HIF1A/PARK7/PHB2/SLC25A5/TOMM7/WDR45B",9
"GO:2000106","GO:2000106","regulation of leukocyte apoptotic process","9/814","93/18903",0.0186732151903623,0.0892813101289196,0.067242363524118,"AXL/HIF1A/IRS2/LYN/ORMDL3/PTEN/SELENOS/ST6GAL1/TCP1",9
"GO:1903533","GO:1903533","regulation of protein targeting","8/814","78/18903",0.0188423827251335,0.0900074150010511,0.067789230586194,"BNIP3L/LEPROT/LMAN1/SH3GLB1/STOM/TOMM7/UBE2D3/UBE2L3",8
"GO:0044703","GO:0044703","multi-organism reproductive process","16/814","209/18903",0.0189477189616531,0.0904275541637793,0.0681056590780037,"AKT1/DDR1/EMP2/FBLN1/FOS/IGFBP7/ITGB4/JUNB/NR2F2/PAM/PRDX3/RARA/TGFBR2/TMED2/VEGFA/VMP1",16
"GO:0046822","GO:0046822","regulation of nucleocytoplasmic transport","10/814","109/18903",0.0191380004906086,0.0911924872770473,0.0686817696928651,"ANP32B/FLNA/HSP90AA1/HSP90AB1/PARK7/RAN/SFN/SP100/TXN/YWHAE",10
"GO:0001952","GO:0001952","regulation of cell-matrix adhesion","11/814","125/18903",0.0191430596129442,0.0911924872770473,0.0686817696928651,"ACTG1/DDR1/EMP2/LIMS1/MACF1/PLEKHA2/PTEN/RAC1/RHOA/ROCK1/VEGFA",11
"GO:0010469","GO:0010469","regulation of signaling receptor activity","14/814","175/18903",0.0192927721539136,0.0918215926300625,0.0691555814098004,"AREG/ERRFI1/HIF1A/IFNGR2/ITGB1/LRPAP1/MTRNR2L1/MTRNR2L10/MTRNR2L12/MTRNR2L3/MTRNR2L8/NCK2/PARK7/RWDD1",14
"GO:0050867","GO:0050867","positive regulation of cell activation","30/814","467/18903",0.0193980089382738,0.0922380644395798,0.0694692478285915,"AKT1/ARID1A/AXL/B2M/CAV1/CD24/CD46/CD47/CTSC/FLNA/HES1/HLA-DRA/HLA-DRB1/HLA-DRB5/HMGB1/IL6ST/IRS2/LYN/MDK/NCK1/NCK2/PCID2/PIK3CA/RARA/RHOA/RIF1/SELENOK/TGFBR2/XBP1/YES1",30
"GO:0030111","GO:0030111","regulation of Wnt signaling pathway","23/814","336/18903",0.0197137002321029,0.0936535786368943,0.0705353446420447,"CAV1/CCDC88C/CSNK1A1/CSNK2A1/CTNNB1/CTNND1/DDX3X/FOXO1/G3BP1/MACF1/MDK/PPM1B/RBPJ/RBX1/SOX9/TBL1XR1/TRPM4/UBE2B/USP8/VPS35/WWTR1/XIAP/YAP1",23
"GO:0002218","GO:0002218","activation of innate immune response","7/814","64/18903",0.0197680187186044,0.0937404132854877,0.0706007442984652,"HEXIM1/HMGB1/HSP90AA1/IFI16/LYN/PAK2/XRCC5",7
"GO:0071806","GO:0071806","protein transmembrane transport","7/814","64/18903",0.0197680187186044,0.0937404132854877,0.0706007442984652,"HSPA5/SEC61B/SEC62/TMED10/TOMM20/TOMM7/TRAM1",7
"GO:0002066","GO:0002066","columnar/cuboidal epithelial cell development","6/814","50/18903",0.0198399047343579,0.0939100859218653,0.0707285335197358,"AKT1/HIF1A/IL6ST/RARA/RHEB/YAP1",6
"GO:1902041","GO:1902041","regulation of extrinsic apoptotic signaling pathway via death domain receptors","6/814","50/18903",0.0198399047343579,0.0939100859218653,0.0707285335197358,"CFLAR/DDX3X/PARK7/PTEN/SKIL/SP100",6
"GO:0035304","GO:0035304","regulation of protein dephosphorylation","9/814","94/18903",0.0198904168181069,0.0940635893525381,0.070844144877506,"ARPP19/CALM2/CALM3/HSP90AB1/PPIA/PPP1R2/ROCK1/YWHAB/YWHAE",9
"GO:0003206","GO:0003206","cardiac chamber morphogenesis","11/814","126/18903",0.0201894422532321,0.0945062945546067,0.0711775690184436,"ADAMTS1/DSP/FOXC1/GATA6/HES1/HIF1A/PPP1R13L/RBPJ/SEMA3C/SMAD6/TGFBR2",11
"GO:0045930","GO:0045930","negative regulation of mitotic cell cycle","18/814","246/18903",0.020263651285461,0.0945062945546067,0.0711775690184436,"BABAM2/BTG1/BUB3/CDKN1B/CHMP4C/CTNNB1/DUSP1/FOXC1/KLF4/PCID2/PTEN/RB1/TAOK1/TAOK3/WAC/ZFP36L1/ZFP36L2/ZNF207",18
"GO:0006465","GO:0006465","signal peptide processing","3/814","14/18903",0.0202928740902529,0.0945062945546067,0.0711775690184436,"SEC11A/SPCS1/SPCS2",3
"GO:0006596","GO:0006596","polyamine biosynthetic process","3/814","14/18903",0.0202928740902529,0.0945062945546067,0.0711775690184436,"ODC1/SAT1/SMS",3
"GO:0031958","GO:0031958","corticosteroid receptor signaling pathway","3/814","14/18903",0.0202928740902529,0.0945062945546067,0.0711775690184436,"ARID1A/NR3C1/YWHAH",3
"GO:0042117","GO:0042117","monocyte activation","3/814","14/18903",0.0202928740902529,0.0945062945546067,0.0711775690184436,"ADAM10/ADAM9/MT1G",3
"GO:0044793","GO:0044793","negative regulation by host of viral process","3/814","14/18903",0.0202928740902529,0.0945062945546067,0.0711775690184436,"APCS/NUCKS1/VAPA",3
"GO:0051547","GO:0051547","regulation of keratinocyte migration","3/814","14/18903",0.0202928740902529,0.0945062945546067,0.0711775690184436,"ADAM9/ARF6/PTEN",3
"GO:0060009","GO:0060009","Sertoli cell development","3/814","14/18903",0.0202928740902529,0.0945062945546067,0.0711775690184436,"ATRX/SDC1/SOX9",3
"GO:0060019","GO:0060019","radial glial cell differentiation","3/814","14/18903",0.0202928740902529,0.0945062945546067,0.0711775690184436,"HES1/RHOA/STAT3",3
"GO:0071236","GO:0071236","cellular response to antibiotic","3/814","14/18903",0.0202928740902529,0.0945062945546067,0.0711775690184436,"ACTR2/CDKN1B/HSPA5",3
"GO:0071801","GO:0071801","regulation of podosome assembly","3/814","14/18903",0.0202928740902529,0.0945062945546067,0.0711775690184436,"GSN/MSN/RHOA",3
"GO:0090158","GO:0090158","endoplasmic reticulum membrane organization","3/814","14/18903",0.0202928740902529,0.0945062945546067,0.0711775690184436,"ARL6IP1/RTN4/TMED2",3
"GO:0090715","GO:0090715","immunological memory formation process","3/814","14/18903",0.0202928740902529,0.0945062945546067,0.0711775690184436,"CD46/HLA-DRA/HLA-DRB1",3
