"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001765","GO:0001765","membrane raft assembly","2/422","10/18903",0.0198725188016166,0.103708981161185,0.0786826967879335,"EMP2/PACSIN2",2
"GO:0002361","GO:0002361","CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation","2/422","10/18903",0.0198725188016166,0.103708981161185,0.0786826967879335,"HLA-DRA/HLA-DRB1",2
"GO:0002934","GO:0002934","desmosome organization","2/422","10/18903",0.0198725188016166,0.103708981161185,0.0786826967879335,"DSP/PERP",2
"GO:0003253","GO:0003253","cardiac neural crest cell migration involved in outflow tract morphogenesis","2/422","10/18903",0.0198725188016166,0.103708981161185,0.0786826967879335,"CDC42/SEMA3C",2
"GO:0003310","GO:0003310","pancreatic A cell differentiation","2/422","10/18903",0.0198725188016166,0.103708981161185,0.0786826967879335,"GATA6/HES1",2
"GO:0032070","GO:0032070","regulation of deoxyribonuclease activity","2/422","10/18903",0.0198725188016166,0.103708981161185,0.0786826967879335,"HMGB1/NPM1",2
"GO:0035878","GO:0035878","nail development","2/422","10/18903",0.0198725188016166,0.103708981161185,0.0786826967879335,"ITGA6/ITGB4",2
"GO:0045050","GO:0045050","protein insertion into ER membrane by stop-transfer membrane-anchor sequence","2/422","10/18903",0.0198725188016166,0.103708981161185,0.0786826967879335,"EMC4/EMC7",2
"GO:0048664","GO:0048664","neuron fate determination","2/422","10/18903",0.0198725188016166,0.103708981161185,0.0786826967879335,"CDC42/CTNNB1",2
"GO:0051342","GO:0051342","regulation of cyclic-nucleotide phosphodiesterase activity","2/422","10/18903",0.0198725188016166,0.103708981161185,0.0786826967879335,"CALM2/CALM3",2
"GO:0060368","GO:0060368","regulation of Fc receptor mediated stimulatory signaling pathway","2/422","10/18903",0.0198725188016166,0.103708981161185,0.0786826967879335,"CD47/PLSCR1",2
"GO:0060397","GO:0060397","growth hormone receptor signaling pathway via JAK-STAT","2/422","10/18903",0.0198725188016166,0.103708981161185,0.0786826967879335,"JAK1/STAT3",2
"GO:0060502","GO:0060502","epithelial cell proliferation involved in lung morphogenesis","2/422","10/18903",0.0198725188016166,0.103708981161185,0.0786826967879335,"CDC42/NFIB",2
"GO:0062042","GO:0062042","regulation of cardiac epithelial to mesenchymal transition","2/422","10/18903",0.0198725188016166,0.103708981161185,0.0786826967879335,"EMP2/TGFBR2",2
"GO:0090557","GO:0090557","establishment of endothelial intestinal barrier","2/422","10/18903",0.0198725188016166,0.103708981161185,0.0786826967879335,"TJP1/TJP2",2
"GO:0097201","GO:0097201","negative regulation of transcription from RNA polymerase II promoter in response to stress","2/422","10/18903",0.0198725188016166,0.103708981161185,0.0786826967879335,"JUN/TMBIM6",2
"GO:0098887","GO:0098887","neurotransmitter receptor transport, endosome to postsynaptic membrane","2/422","10/18903",0.0198725188016166,0.103708981161185,0.0786826967879335,"RAB11A/VPS35",2
"GO:0099639","GO:0099639","neurotransmitter receptor transport, endosome to plasma membrane","2/422","10/18903",0.0198725188016166,0.103708981161185,0.0786826967879335,"RAB11A/VPS35",2
"GO:1900246","GO:1900246","positive regulation of RIG-I signaling pathway","2/422","10/18903",0.0198725188016166,0.103708981161185,0.0786826967879335,"DDX60/PUM1",2
"GO:1904181","GO:1904181","positive regulation of membrane depolarization","2/422","10/18903",0.0198725188016166,0.103708981161185,0.0786826967879335,"DCN/TRPM4",2
"GO:1904749","GO:1904749","regulation of protein localization to nucleolus","2/422","10/18903",0.0198725188016166,0.103708981161185,0.0786826967879335,"GLUL/NPM1",2
"GO:1904896","GO:1904896","ESCRT complex disassembly","2/422","10/18903",0.0198725188016166,0.103708981161185,0.0786826967879335,"CHMP1B/CHMP5",2
"GO:1904903","GO:1904903","ESCRT III complex disassembly","2/422","10/18903",0.0198725188016166,0.103708981161185,0.0786826967879335,"CHMP1B/CHMP5",2
"GO:1905165","GO:1905165","regulation of lysosomal protein catabolic process","2/422","10/18903",0.0198725188016166,0.103708981161185,0.0786826967879335,"LAPTM4B/VPS35",2
"GO:2000425","GO:2000425","regulation of apoptotic cell clearance","2/422","10/18903",0.0198725188016166,0.103708981161185,0.0786826967879335,"HMGB1/TGM2",2
"GO:0031396","GO:0031396","regulation of protein ubiquitination","10/422","210/18903",0.0199050637121069,0.103710087806961,0.078683536386135,"HERPUD1/HSP90AB1/NPM1/PARK7/PDCD6/PEF1/PPIA/PTEN/RBX1/XIAP",10
"GO:0006354","GO:0006354","DNA-templated transcription elongation","11/422","241/18903",0.0199424597351799,0.103710087806961,0.078683536386135,"BTG1/CTNNB1/HEXIM1/HNRNPU/JMJD1C/MTDH/MUC1/RSF1/SETD5/TCEA1/THRAP3",11
"GO:0048738","GO:0048738","cardiac muscle tissue development","11/422","241/18903",0.0199424597351799,0.103710087806961,0.078683536386135,"CDC42/DSP/GATA6/HNRNPU/ITGB1/PDLIM5/PRKAR1A/PTEN/RUNX1/TGFBR2/YAP1",11
"GO:0035265","GO:0035265","organ growth","9/422","180/18903",0.0200198282398664,0.103847724543668,0.0787879596434069,"GATA6/PDLIM5/PRKAR1A/PTEN/RUNX1/SERP1/TGFBR2/YAP1/YBX3",9
"GO:0002294","GO:0002294","CD4-positive, alpha-beta T cell differentiation involved in immune response","5/422","70/18903",0.0200387473850512,0.103847724543668,0.0787879596434069,"HLA-DRA/HLA-DRB1/HMGB1/JUNB/STAT3",5
"GO:0043627","GO:0043627","response to estrogen","5/422","70/18903",0.0200387473850512,0.103847724543668,0.0787879596434069,"ARPC1B/CD24/GATA6/KRT19/TGFBR2",5
"GO:0090287","GO:0090287","regulation of cellular response to growth factor stimulus","14/422","338/18903",0.0201998429964534,0.104561136253103,0.0793292161150251,"CTNNB1/DCN/FAM20C/FSTL1/GATA6/HES1/HSP90AB1/HTRA1/PDCD6/RBBP4/SKIL/STRAP/UBE2D3/XIAP",14
"GO:0071456","GO:0071456","cellular response to hypoxia","8/422","151/18903",0.0202472572516541,0.104685123820255,0.0794232839193993,"FOS/GATA6/HP1BP3/P4HB/PHB2/PTEN/TMBIM6/ZFP36L1",8
"GO:0071675","GO:0071675","regulation of mononuclear cell migration","7/422","123/18903",0.0205005121599863,0.105871857937337,0.0803236441356189,"CD47/DUSP1/HMGB1/MAPK1/RHOA/S100A14/SELENOK",7
"GO:0097028","GO:0097028","dendritic cell differentiation","4/422","47/18903",0.0205250954133933,0.105876272525504,0.080326993428017,"AXL/CEBPB/HMGB1/TGFBR2",4
"GO:0016570","GO:0016570","histone modification","18/422","474/18903",0.0205778742651419,0.105932311982821,0.0803695098579236,"ATRX/CTNNB1/DDX21/EID1/GLYR1/JMJD1C/KMT2E/MORF4L1/MUC1/PARK7/RBBP4/SET/SETD5/SF3B1/TBL1XR1/UBE2A/UBE2B/WAC",18
"GO:0014033","GO:0014033","neural crest cell differentiation","6/422","96/18903",0.0205834411674374,0.105932311982821,0.0803695098579236,"CDC42/HES1/MAPK1/PDCD6/PEF1/SEMA3C",6
"GO:0006941","GO:0006941","striated muscle contraction","9/422","181/18903",0.0206687225591023,0.106126398226369,0.0805167606445074,"ALDOA/ATP2A2/CALM2/CALM3/DSC2/DSP/GSN/MAP2K3/TRPM4",9
"GO:0043409","GO:0043409","negative regulation of MAPK cascade","9/422","181/18903",0.0206687225591023,0.106126398226369,0.0805167606445074,"APOE/DUSP1/EZR/FBLN1/GSTP1/NUP62/PPIA/PTEN/RNF149",9
"GO:0007043","GO:0007043","cell-cell junction assembly","8/422","152/18903",0.0209720579294057,0.107560140782768,0.0816045230501738,"CD9/CLDN7/CTNNB1/PAK2/PECAM1/RHOA/ROCK1/TJP1",8
"GO:0051346","GO:0051346","negative regulation of hydrolase activity","15/422","373/18903",0.0210039316465602,0.107599934565961,0.0816347140918939,"ARL6IP1/CSNK2A1/IFI16/IFI6/KLF4/PAK2/PARK7/PICALM/RARRES1/ROCK1/SERPINB1/SFN/TMBIM6/TMED2/XIAP",15
"GO:0002287","GO:0002287","alpha-beta T cell activation involved in immune response","5/422","71/18903",0.0211749350052225,0.108227445582248,0.0821107987903726,"HLA-DRA/HLA-DRB1/HMGB1/JUNB/STAT3",5
"GO:0002293","GO:0002293","alpha-beta T cell differentiation involved in immune response","5/422","71/18903",0.0211749350052225,0.108227445582248,0.0821107987903726,"HLA-DRA/HLA-DRB1/HMGB1/JUNB/STAT3",5
"GO:0006942","GO:0006942","regulation of striated muscle contraction","6/422","97/18903",0.0215425863280093,0.109854880223517,0.0833455129394019,"ATP2A2/CALM2/CALM3/DSC2/DSP/TRPM4",6
"GO:0010596","GO:0010596","negative regulation of endothelial cell migration","6/422","97/18903",0.0215425863280093,0.109854880223517,0.0833455129394019,"APOE/DCN/HMGB1/KLF4/RHOA/SP100",6
"GO:0045444","GO:0045444","fat cell differentiation","11/422","244/18903",0.0216193572087848,0.109903398943611,0.0833823234807742,"CEBPB/CEBPD/HES1/HNRNPU/KLF4/LAMB3/TBL1XR1/TRPM4/YAP1/ZFP36L1/ZFP36L2",11
"GO:0001783","GO:0001783","B cell apoptotic process","3/422","27/18903",0.0217245176755413,0.109903398943611,0.0833823234807742,"CD74/ORMDL3/PTEN",3
"GO:0002418","GO:0002418","immune response to tumor cell","3/422","27/18903",0.0217245176755413,0.109903398943611,0.0833823234807742,"AHR/HLA-DRB1/HMGB1",3
"GO:0046755","GO:0046755","viral budding","3/422","27/18903",0.0217245176755413,0.109903398943611,0.0833823234807742,"CHMP1B/CHMP3/CHMP5",3
"GO:0071280","GO:0071280","cellular response to copper ion","3/422","27/18903",0.0217245176755413,0.109903398943611,0.0833823234807742,"MT1G/MT1X/MT2A",3
"GO:0072207","GO:0072207","metanephric epithelium development","3/422","27/18903",0.0217245176755413,0.109903398943611,0.0833823234807742,"HES1/STAT1/YAP1",3
"GO:2000647","GO:2000647","negative regulation of stem cell proliferation","3/422","27/18903",0.0217245176755413,0.109903398943611,0.0833823234807742,"FBLN1/NFIB/SFN",3
"GO:0035305","GO:0035305","negative regulation of dephosphorylation","4/422","48/18903",0.0220079874478004,0.111085565601906,0.0842792184235842,"ARPP19/IQGAP1/ROCK1/YWHAE",4
"GO:0045747","GO:0045747","positive regulation of Notch signaling pathway","4/422","48/18903",0.0220079874478004,0.111085565601906,0.0842792184235842,"HES1/IL6ST/STAT3/YAP1",4
"GO:0001952","GO:0001952","regulation of cell-matrix adhesion","7/422","125/18903",0.0221740411785626,0.111671074197231,0.0847234364147053,"EMP2/LIMS1/PLEKHA2/PTEN/RAC1/RHOA/ROCK1",7
"GO:0043280","GO:0043280","positive regulation of cysteine-type endopeptidase activity involved in apoptotic process","7/422","125/18903",0.0221740411785626,0.111671074197231,0.0847234364147053,"BEX3/GSN/HMGB1/NDUFA13/NLRP2/PDCD6/RHOA",7
"GO:0045637","GO:0045637","regulation of myeloid cell differentiation","10/422","214/18903",0.0223476416818899,0.112315242648524,0.0852121588991607,"CD74/CEBPB/CTNNB1/FOS/HLA-DRB1/NFKBIA/RUNX1/STAT1/STAT3/ZFP36L1",10
"GO:0033143","GO:0033143","regulation of intracellular steroid hormone receptor signaling pathway","5/422","72/18903",0.0223522939201903,0.112315242648524,0.0852121588991607,"NCOR2/PARK7/PHB2/RHOA/YAP1",5
"GO:0032642","GO:0032642","regulation of chemokine production","6/422","98/18903",0.0225314889861473,0.113088305799988,0.0857986721679588,"CD74/EIF2AK2/GSTP1/HMGB1/KLF4/SELENOK",6
"GO:0042254","GO:0042254","ribosome biogenesis","13/422","310/18903",0.0225598835748407,0.113103596079707,0.0858102727104526,"DDX17/DDX18/DDX21/GLUL/NOP10/NPM1/PTEN/RPL10L/RPL7L1/RRP7A/SBDS/TRAF7/XRCC5",13
"GO:0032640","GO:0032640","tumor necrosis factor production","9/422","184/18903",0.0227062850498163,0.113582336202108,0.0861734868069496,"AXL/CD47/GSTP1/HMGB1/IFNGR1/SELENOK/SPON2/STAT3/ZBTB20",9
"GO:0032680","GO:0032680","regulation of tumor necrosis factor production","9/422","184/18903",0.0227062850498163,0.113582336202108,0.0861734868069496,"AXL/CD47/GSTP1/HMGB1/IFNGR1/SELENOK/SPON2/STAT3/ZBTB20",9
"GO:1903532","GO:1903532","positive regulation of secretion by cell","12/422","278/18903",0.0228257648903055,0.114052142150664,0.0865299226583633,"ADAM9/ARF6/EZR/GLUL/HLA-DRB1/PPIA/RAB7A/SDC1/SERP1/TM7SF3/TRPM4/VPS35",12
"GO:0050803","GO:0050803","regulation of synapse structure or activity","10/422","215/18903",0.0229908339449741,0.114748435192925,0.0870581914129716,"AGRN/APOE/ARF4/ARF6/HSPA8/PDLIM5/PTEN/RHOA/SETD5/VPS35",10
"GO:0070507","GO:0070507","regulation of microtubule cytoskeleton organization","8/422","155/18903",0.0232566136682846,0.115596379876343,0.0877015163562057,"CHMP1B/CHMP3/CHMP5/HNRNPU/NUP62/RAC1/RHOA/ROCK1",8
"GO:0003300","GO:0003300","cardiac muscle hypertrophy","6/422","99/18903",0.0235505060263928,0.115596379876343,0.0877015163562057,"ATP2A2/GATA6/IL6ST/PAK2/PDLIM5/ROCK1",6
"GO:0032602","GO:0032602","chemokine production","6/422","99/18903",0.0235505060263928,0.115596379876343,0.0877015163562057,"CD74/EIF2AK2/GSTP1/HMGB1/KLF4/SELENOK",6
"GO:0032755","GO:0032755","positive regulation of interleukin-6 production","6/422","99/18903",0.0235505060263928,0.115596379876343,0.0877015163562057,"CD74/HMGB1/SELENOK/SPON2/STAT3/ZBTB20",6
"GO:2001237","GO:2001237","negative regulation of extrinsic apoptotic signaling pathway","6/422","99/18903",0.0235505060263928,0.115596379876343,0.0877015163562057,"GSTP1/IFI6/ITGA6/ITGAV/PARK7/YAP1",6
"GO:0034198","GO:0034198","cellular response to amino acid starvation","4/422","49/18903",0.0235546728080542,0.115596379876343,0.0877015163562057,"EIF2AK2/MAPK1/RRAGC/SH3GLB1",4
"GO:0035307","GO:0035307","positive regulation of protein dephosphorylation","4/422","49/18903",0.0235546728080542,0.115596379876343,0.0877015163562057,"CALM2/CALM3/HSP90AB1/PPIA",4
"GO:0008333","GO:0008333","endosome to lysosome transport","5/422","73/18903",0.0235713037727923,0.115596379876343,0.0877015163562057,"CHMP1B/CHMP3/CHMP5/RAB7A/RHOB",5
"GO:0046635","GO:0046635","positive regulation of alpha-beta T cell activation","5/422","73/18903",0.0235713037727923,0.115596379876343,0.0877015163562057,"HLA-DRA/HLA-DRB1/RHOA/RUNX1/TGFBR2",5
"GO:0071677","GO:0071677","positive regulation of mononuclear cell migration","5/422","73/18903",0.0235713037727923,0.115596379876343,0.0877015163562057,"CD47/HMGB1/RHOA/S100A14/SELENOK",5
"GO:0031293","GO:0031293","membrane protein intracellular domain proteolysis","2/422","11/18903",0.0239341773768164,0.115596379876343,0.0877015163562057,"ADAM9/MMP7",2
"GO:0031642","GO:0031642","negative regulation of myelination","2/422","11/18903",0.0239341773768164,0.115596379876343,0.0877015163562057,"CTSC/PTEN",2
"GO:0033234","GO:0033234","negative regulation of protein sumoylation","2/422","11/18903",0.0239341773768164,0.115596379876343,0.0877015163562057,"CTNNB1/PARK7",2
"GO:0034163","GO:0034163","regulation of toll-like receptor 9 signaling pathway","2/422","11/18903",0.0239341773768164,0.115596379876343,0.0877015163562057,"HMGB1/RTN4",2
"GO:0044857","GO:0044857","plasma membrane raft organization","2/422","11/18903",0.0239341773768164,0.115596379876343,0.0877015163562057,"EMP2/PACSIN2",2
"GO:0045793","GO:0045793","positive regulation of cell size","2/422","11/18903",0.0239341773768164,0.115596379876343,0.0877015163562057,"HSP90AB1/TMEM123",2
"GO:0048755","GO:0048755","branching morphogenesis of a nerve","2/422","11/18903",0.0239341773768164,0.115596379876343,0.0877015163562057,"MAP3K13/RTN4",2
"GO:0060020","GO:0060020","Bergmann glial cell differentiation","2/422","11/18903",0.0239341773768164,0.115596379876343,0.0877015163562057,"MAPK1/VIM",2
"GO:0060315","GO:0060315","negative regulation of ryanodine-sensitive calcium-release channel activity","2/422","11/18903",0.0239341773768164,0.115596379876343,0.0877015163562057,"CALM2/CALM3",2
"GO:0061140","GO:0061140","lung secretory cell differentiation","2/422","11/18903",0.0239341773768164,0.115596379876343,0.0877015163562057,"GATA6/NFIB",2
"GO:0072584","GO:0072584","caveolin-mediated endocytosis","2/422","11/18903",0.0239341773768164,0.115596379876343,0.0877015163562057,"MAPK1/PACSIN2",2
"GO:0090527","GO:0090527","actin filament reorganization","2/422","11/18903",0.0239341773768164,0.115596379876343,0.0877015163562057,"ARAP1/GSN",2
"GO:1901844","GO:1901844","regulation of cell communication by electrical coupling involved in cardiac conduction","2/422","11/18903",0.0239341773768164,0.115596379876343,0.0877015163562057,"CALM2/CALM3",2
"GO:2000109","GO:2000109","regulation of macrophage apoptotic process","2/422","11/18903",0.0239341773768164,0.115596379876343,0.0877015163562057,"PTEN/ST6GAL1",2
"GO:2000622","GO:2000622","regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","2/422","11/18903",0.0239341773768164,0.115596379876343,0.0877015163562057,"PABPC1/RBM8A",2
"GO:2000672","GO:2000672","negative regulation of motor neuron apoptotic process","2/422","11/18903",0.0239341773768164,0.115596379876343,0.0877015163562057,"RHOA/ROCK1",2
"GO:0034063","GO:0034063","stress granule assembly","3/422","28/18903",0.0239379325427479,0.115596379876343,0.0877015163562057,"CSDE1/G3BP1/LSM14A",3
"GO:0071624","GO:0071624","positive regulation of granulocyte chemotaxis","3/422","28/18903",0.0239379325427479,0.115596379876343,0.0877015163562057,"CD74/RAC1/S100A14",3
"GO:1903649","GO:1903649","regulation of cytoplasmic transport","3/422","28/18903",0.0239379325427479,0.115596379876343,0.0877015163562057,"CHMP3/EZR/MAPK1",3
"GO:1903672","GO:1903672","positive regulation of sprouting angiogenesis","3/422","28/18903",0.0239379325427479,0.115596379876343,0.0877015163562057,"JAK1/KLF4/TJP1",3
"GO:0050727","GO:0050727","regulation of inflammatory response","16/422","414/18903",0.0242958966005006,0.117198152033982,0.0889167607023725,"APOE/CD47/CEBPB/CELF1/CTSC/GSTP1/HLA-DRB1/IL6ST/KLF4/MGST2/NFKBIA/NLRP2/PARK7/SOCS3/VPS35/XIAP",16
"GO:0006165","GO:0006165","nucleoside diphosphate phosphorylation","6/422","100/18903",0.0245999833039002,0.118408981124059,0.0898354014708943,"ADPGK/ALDOA/CMPK1/LDHA/STAT3/ZBTB20",6
"GO:0030316","GO:0030316","osteoclast differentiation","6/422","100/18903",0.0245999833039002,0.118408981124059,0.0898354014708943,"CEBPB/CTNNB1/FAM20C/FOS/JUNB/SH3PXD2A",6
"GO:0030330","GO:0030330","DNA damage response, signal transduction by p53 class mediator","5/422","74/18903",0.0248324203031248,0.118877313338728,0.0901907192189839,"ATRX/CD74/MUC1/NPM1/SP100",5
"GO:0050688","GO:0050688","regulation of defense response to virus","5/422","74/18903",0.0248324203031248,0.118877313338728,0.0901907192189839,"HTRA1/PARP9/PPM1B/SELENOK/STAT1",5
"GO:0051298","GO:0051298","centrosome duplication","5/422","74/18903",0.0248324203031248,0.118877313338728,0.0901907192189839,"CHMP1B/CHMP3/CHMP5/NPM1/NUP62",5
"GO:0051926","GO:0051926","negative regulation of calcium ion transport","5/422","74/18903",0.0248324203031248,0.118877313338728,0.0901907192189839,"CALM2/CALM3/HES1/TMBIM6/YWHAE",5
"GO:2000573","GO:2000573","positive regulation of DNA biosynthetic process","5/422","74/18903",0.0248324203031248,0.118877313338728,0.0901907192189839,"CTNNB1/HSP90AB1/KLF4/MAPK1/XRCC5",5
"GO:0050868","GO:0050868","negative regulation of T cell activation","7/422","128/18903",0.0248580528954409,0.118877313338728,0.0901907192189839,"CD74/CEBPB/HLA-DRB1/HMGB1/PRKAR1A/PTEN/RUNX1",7
"GO:0030324","GO:0030324","lung development","9/422","187/18903",0.0248837764810337,0.118877313338728,0.0901907192189839,"CDC42/CRISPLD2/CTNNB1/GATA6/HES1/MAPK1/NFIB/TGFBR2/YAP1",9
"GO:0043491","GO:0043491","protein kinase B signaling","10/422","218/18903",0.0250007712878667,0.119181027229125,0.0904211431194101,"AXL/HSP90AB1/ITGB1/MST1R/MTDH/PARK7/PDCD6/PTEN/RTN4/ZFP36L1",10
"GO:0044706","GO:0044706","multi-multicellular organism process","10/422","218/18903",0.0250007712878667,0.119181027229125,0.0904211431194101,"APOL2/EMP2/FBLN1/FOS/IGFBP7/ITGB4/JUNB/PAM/TGFBR2/TMED2",10
"GO:0061082","GO:0061082","myeloid leukocyte cytokine production","4/422","50/18903",0.0251657020369807,0.119711473868878,0.0908235862988778,"AXL/CD74/DDX21/SPON2",4
"GO:1902041","GO:1902041","regulation of extrinsic apoptotic signaling pathway via death domain receptors","4/422","50/18903",0.0251657020369807,0.119711473868878,0.0908235862988778,"PARK7/PTEN/SKIL/SP100",4
"GO:0060047","GO:0060047","heart contraction","11/422","250/18903",0.0252805685637294,0.12012981568835,0.0911409769642439,"ATP2A2/CALM2/CALM3/CDC42/DSC2/DSP/GATA6/GSN/MAP2K3/TRPM4/YWHAE",11
"GO:0001819","GO:0001819","positive regulation of cytokine production","18/422","486/18903",0.025601027408186,0.121523174782262,0.0921981009459421,"CD74/CEBPB/DDX21/EIF2AK2/G3BP1/GATA6/HMGB1/IFI16/IFNGR1/IL6ST/NLRP2/PARK7/RUNX1/SELENOK/SPON2/STAT1/STAT3/ZBTB20",18
"GO:0097530","GO:0097530","granulocyte migration","8/422","158/18903",0.0257108461418945,0.121914766721715,0.0924951968145118,"CD74/EMP2/MAPK1/PECAM1/PPIA/RAC1/S100A14/SELENOK",8
"GO:2000146","GO:2000146","negative regulation of cell motility","15/422","383/18903",0.0258216378345714,0.122310135900061,0.0927951584266193,"APOE/CD74/DCN/DUSP1/FBLN1/HMGB1/IFITM1/KLF4/PTEN/RAC1/RBBP4/RHOA/RHOB/SP100/STAT3",15
"GO:0016239","GO:0016239","positive regulation of macroautophagy","5/422","75/18903",0.0261360751055038,0.12321713838792,0.093483289781677,"DCN/LARP1/SH3GLB1/SLC25A5/WAC",5
"GO:0120192","GO:0120192","tight junction assembly","5/422","75/18903",0.0261360751055038,0.12321713838792,0.093483289781677,"CLDN7/PAK2/PECAM1/ROCK1/TJP1",5
"GO:0006622","GO:0006622","protein targeting to lysosome","3/422","29/18903",0.0262686956076417,0.12321713838792,0.093483289781677,"HSPA8/LAMP2/RAB7A",3
"GO:0010800","GO:0010800","positive regulation of peptidyl-threonine phosphorylation","3/422","29/18903",0.0262686956076417,0.12321713838792,0.093483289781677,"CALM2/CALM3/MAPK1",3
"GO:0010804","GO:0010804","negative regulation of tumor necrosis factor-mediated signaling pathway","3/422","29/18903",0.0262686956076417,0.12321713838792,0.093483289781677,"GSTP1/NLRP2/XIAP",3
"GO:0090025","GO:0090025","regulation of monocyte chemotaxis","3/422","29/18903",0.0262686956076417,0.12321713838792,0.093483289781677,"DUSP1/HMGB1/S100A14",3
"GO:1902175","GO:1902175","regulation of oxidative stress-induced intrinsic apoptotic signaling pathway","3/422","29/18903",0.0262686956076417,0.12321713838792,0.093483289781677,"P4HB/PARK7/PPIA",3
"GO:1902430","GO:1902430","negative regulation of amyloid-beta formation","3/422","29/18903",0.0262686956076417,0.12321713838792,0.093483289781677,"APOE/ROCK1/RTN4",3
"GO:0043123","GO:0043123","positive regulation of I-kappaB kinase/NF-kappaB signaling","9/422","189/18903",0.0264154062955121,0.12321713838792,0.093483289781677,"CD74/CTNNB1/DDX21/EEF1D/HLA-DRB1/MTDH/NUP62/RHOA/TFG",9
"GO:0051896","GO:0051896","regulation of protein kinase B signaling","9/422","189/18903",0.0264154062955121,0.12321713838792,0.093483289781677,"AXL/HSP90AB1/ITGB1/MST1R/MTDH/PARK7/PDCD6/PTEN/RTN4",9
"GO:0071478","GO:0071478","cellular response to radiation","9/422","189/18903",0.0264154062955121,0.12321713838792,0.093483289781677,"EEF1D/GRB2/IFI16/NPM1/NUCKS1/RBX1/RHOB/XRCC5/YAP1",9
"GO:0071706","GO:0071706","tumor necrosis factor superfamily cytokine production","9/422","189/18903",0.0264154062955121,0.12321713838792,0.093483289781677,"AXL/CD47/GSTP1/HMGB1/IFNGR1/SELENOK/SPON2/STAT3/ZBTB20",9
"GO:1903555","GO:1903555","regulation of tumor necrosis factor superfamily cytokine production","9/422","189/18903",0.0264154062955121,0.12321713838792,0.093483289781677,"AXL/CD47/GSTP1/HMGB1/IFNGR1/SELENOK/SPON2/STAT3/ZBTB20",9
"GO:0035051","GO:0035051","cardiocyte differentiation","8/422","159/18903",0.0265675859717019,0.12321713838792,0.093483289781677,"CDC42/GATA6/HES1/HNRNPU/ITGB1/MAPK1/PDLIM5/SEMA3C",8
"GO:0036294","GO:0036294","cellular response to decreased oxygen levels","8/422","159/18903",0.0265675859717019,0.12321713838792,0.093483289781677,"FOS/GATA6/HP1BP3/P4HB/PHB2/PTEN/TMBIM6/ZFP36L1",8
"GO:1903320","GO:1903320","regulation of protein modification by small protein conjugation or removal","11/422","252/18903",0.0265954796020278,0.12321713838792,0.093483289781677,"CTNNB1/HERPUD1/HSP90AB1/NPM1/PARK7/PDCD6/PEF1/PPIA/PTEN/RBX1/XIAP",11
"GO:0042542","GO:0042542","response to hydrogen peroxide","7/422","130/18903",0.0267662717018817,0.12321713838792,0.093483289781677,"ADAM9/AREG/AXL/PARK7/RHOB/SDC1/STAT1",7
"GO:0008630","GO:0008630","intrinsic apoptotic signaling pathway in response to DNA damage","6/422","102/18903",0.0267916454881779,0.12321713838792,0.093483289781677,"CD74/HNRNPK/IFI16/MUC1/SFN/SKIL",6
"GO:0014897","GO:0014897","striated muscle hypertrophy","6/422","102/18903",0.0267916454881779,0.12321713838792,0.093483289781677,"ATP2A2/GATA6/IL6ST/PAK2/PDLIM5/ROCK1",6
"GO:0031058","GO:0031058","positive regulation of histone modification","6/422","102/18903",0.0267916454881779,0.12321713838792,0.093483289781677,"CTNNB1/DDX21/GLYR1/KMT2E/MUC1/SF3B1",6
"GO:0046939","GO:0046939","nucleotide phosphorylation","6/422","102/18903",0.0267916454881779,0.12321713838792,0.093483289781677,"ADPGK/ALDOA/CMPK1/LDHA/STAT3/ZBTB20",6
"GO:0001913","GO:0001913","T cell mediated cytotoxicity","4/422","51/18903",0.0268415639876867,0.12321713838792,0.093483289781677,"CTSC/EMP2/HLA-DRA/HLA-DRB1",4
"GO:0019083","GO:0019083","viral transcription","4/422","51/18903",0.0268415639876867,0.12321713838792,0.093483289781677,"HEXIM1/JUN/NUCKS1/RSF1",4
"GO:0032873","GO:0032873","negative regulation of stress-activated MAPK cascade","4/422","51/18903",0.0268415639876867,0.12321713838792,0.093483289781677,"DUSP1/EZR/GSTP1/PPIA",4
"GO:0043124","GO:0043124","negative regulation of I-kappaB kinase/NF-kappaB signaling","4/422","51/18903",0.0268415639876867,0.12321713838792,0.093483289781677,"GSTP1/PPM1B/RHOA/STAT1",4
"GO:0051489","GO:0051489","regulation of filopodium assembly","4/422","51/18903",0.0268415639876867,0.12321713838792,0.093483289781677,"AGRN/ARAP1/ARF6/CDC42",4
"GO:0060688","GO:0060688","regulation of morphogenesis of a branching structure","4/422","51/18903",0.0268415639876867,0.12321713838792,0.093483289781677,"CTNNB1/MAP3K13/PHB2/RTN4",4
"GO:0070303","GO:0070303","negative regulation of stress-activated protein kinase signaling cascade","4/422","51/18903",0.0268415639876867,0.12321713838792,0.093483289781677,"DUSP1/EZR/GSTP1/PPIA",4
"GO:1901799","GO:1901799","negative regulation of proteasomal protein catabolic process","4/422","51/18903",0.0268415639876867,0.12321713838792,0.093483289781677,"EIF3H/HSP90AB1/PARK7/WAC",4
"GO:1901985","GO:1901985","positive regulation of protein acetylation","4/422","51/18903",0.0268415639876867,0.12321713838792,0.093483289781677,"DDX21/GLYR1/MUC1/SF3B1",4
