"","x"
"2417","Excitatory"
"2418","Inhibitory"
"2419","Inhibitory"
"2420","Excitatory"
"2421","Inhibitory"
"2422","Inhibitory"
"2423","Inhibitory"
"2424","Inhibitory"
"2425","OD Mature"
"2426","Inhibitory"
"2427","Inhibitory"
"2428","Inhibitory"
"2429","Inhibitory"
"2430","OD Mature"
"2431","Inhibitory"
"2432","Inhibitory"
"2433","OD Mature"
"2434","Inhibitory"
"2435","Inhibitory"
"2436","OD Mature"
"2437","Inhibitory"
"2438","OD Immature"
"2439","Excitatory"
"2440","Inhibitory"
"2441","OD Mature"
"2442","Excitatory"
"2443","OD Mature"
"2444","Inhibitory"
"2445","Inhibitory"
"2446","Inhibitory"
"2447","OD Mature"
"2448","Mural"
"2449","OD Mature"
"2450","Ependymal"
"2451","Inhibitory"
"2452","OD Mature"
"2453","Excitatory"
"2454","Excitatory"
"2455","Inhibitory"
"2456","OD Mature"
"2457","Excitatory"
"2458","Inhibitory"
"2459","Inhibitory"
"2460","Inhibitory"
"2461","Inhibitory"
"2462","Inhibitory"
"2463","Inhibitory"
"2464","Endothelial"
"2465","Inhibitory"
"2466","Inhibitory"
"2467","OD Mature"
"2468","OD Mature"
"2469","Mural"
"2470","Inhibitory"
"2471","OD Mature"
"2472","Inhibitory"
"2473","Inhibitory"
"2474","Endothelial"
"2475","Mural"
"2476","Endothelial"
"2477","Inhibitory"
"2478","Excitatory"
"2479","Excitatory"
"2480","Inhibitory"
"2481","Inhibitory"
"2482","Astrocyte"
"2483","Mural"
"2484","Inhibitory"
"2485","Inhibitory"
"2486","Inhibitory"
"2487","OD Mature"
"2488","Inhibitory"
"2489","OD Immature"
"2490","Inhibitory"
"2491","Inhibitory"
"2492","Inhibitory"
"2493","Inhibitory"
"2494","Inhibitory"
"2495","Excitatory"
"2496","Inhibitory"
"2497","Inhibitory"
"2498","Excitatory"
"2499","Inhibitory"
"2500","Inhibitory"
"2501","Inhibitory"
"2502","OD Mature"
"2503","Inhibitory"
"2504","Inhibitory"
"2505","Inhibitory"
"2506","Inhibitory"
"2507","Inhibitory"
"2508","Inhibitory"
"2509","OD Mature"
"2510","Inhibitory"
"2511","Inhibitory"
"2512","Microglia"
"2513","Inhibitory"
"2514","Inhibitory"
"2515","Inhibitory"
"2516","Mural"
"2517","OD Mature"
"2518","Inhibitory"
"2519","Inhibitory"
"2520","Inhibitory"
"2521","Endothelial"
"2522","Excitatory"
"2523","Inhibitory"
"2524","Inhibitory"
"2525","Inhibitory"
"2526","Excitatory"
"2527","Inhibitory"
"2528","Inhibitory"
"2529","Excitatory"
"2530","Inhibitory"
"2531","OD Immature"
"2532","OD Mature"
"2533","OD Mature"
"2534","Inhibitory"
"2535","Inhibitory"
"2536","Inhibitory"
"2537","Excitatory"
"2538","OD Immature"
"2539","Inhibitory"
"2540","Excitatory"
"2541","Inhibitory"
"2542","OD Mature"
"2543","Inhibitory"
"2544","OD Mature"
"2545","OD Mature"
"2546","OD Immature"
"2547","Excitatory"
"2548","OD Mature"
"2549","Inhibitory"
"2550","Inhibitory"
"2551","OD Mature"
"2552","OD Mature"
"2553","OD Mature"
"2554","Inhibitory"
"2555","Inhibitory"
"2556","Excitatory"
"2557","OD Immature"
"2558","Inhibitory"
"2559","OD Mature"
"2560","Inhibitory"
"2561","Excitatory"
"2562","Inhibitory"
"2563","Excitatory"
"2564","OD Immature"
"2565","Inhibitory"
"2566","Inhibitory"
"2567","Inhibitory"
"2568","Inhibitory"
"2569","Excitatory"
"2570","OD Immature"
"2571","Inhibitory"
"2572","Microglia"
"2573","OD Immature"
"2574","Excitatory"
"2575","Inhibitory"
"2576","Inhibitory"
"2577","Inhibitory"
"2578","Excitatory"
"2579","Inhibitory"
"2580","OD Immature"
"2581","Inhibitory"
"2582","OD Mature"
"2583","Excitatory"
"2584","Excitatory"
"2585","Excitatory"
"2586","OD Mature"
"2587","Inhibitory"
"2588","Inhibitory"
"2589","Inhibitory"
"2590","Inhibitory"
"2591","Inhibitory"
"2592","Microglia"
"2593","OD Mature"
"2594","OD Mature"
"2595","Inhibitory"
"2596","OD Mature"
"2597","OD Mature"
"2598","Inhibitory"
"2599","Astrocyte"
"2600","Microglia"
"2601","Inhibitory"
"2602","Excitatory"
"2603","Excitatory"
"2604","Inhibitory"
"2605","Excitatory"
"2606","Excitatory"
"2607","Inhibitory"
"2608","Inhibitory"
"2609","Inhibitory"
"2610","OD Immature"
"2611","Excitatory"
"2612","OD Mature"
"2613","Inhibitory"
"2614","Inhibitory"
"2615","Inhibitory"
"2616","Inhibitory"
"2617","Endothelial"
"2618","OD Mature"
"2619","Excitatory"
"2620","Inhibitory"
"2621","Inhibitory"
"2622","Inhibitory"
"2623","Endothelial"
"2624","Inhibitory"
"2625","Inhibitory"
"2626","Inhibitory"
"2627","Inhibitory"
"2628","Excitatory"
"2629","Inhibitory"
"2630","OD Mature"
"2631","Inhibitory"
"2632","Inhibitory"
"2633","Astrocyte"
"2634","Inhibitory"
"2635","OD Mature"
"2636","Inhibitory"
"2637","Inhibitory"
"2638","Inhibitory"
"2639","Excitatory"
"2640","Inhibitory"
"2641","OD Immature"
"2642","OD Mature"
"2643","OD Immature"
"2644","Inhibitory"
"2645","Excitatory"
"2646","Inhibitory"
"2647","Inhibitory"
"2648","OD Mature"
"2649","Inhibitory"
"2650","Inhibitory"
"2651","Inhibitory"
"2652","Excitatory"
"2653","Microglia"
"2654","Inhibitory"
"2655","OD Mature"
"2656","Excitatory"
"2657","Inhibitory"
"2658","Inhibitory"
"2659","Excitatory"
"2660","Inhibitory"
"2661","OD Mature"
"2662","Excitatory"
"2663","Inhibitory"
"2664","Inhibitory"
"2665","Inhibitory"
"2666","Astrocyte"
"2667","Inhibitory"
"2668","Inhibitory"
"2669","OD Mature"
"2670","OD Mature"
"2671","Inhibitory"
"2672","Inhibitory"
"2673","Inhibitory"
"2674","Inhibitory"
"2675","Microglia"
"2676","Inhibitory"
"2677","Excitatory"
"2678","Inhibitory"
"2679","Inhibitory"
"2680","Inhibitory"
"2681","Inhibitory"
"2682","OD Immature"
"2683","OD Mature"
"2684","OD Mature"
"2685","OD Mature"
"2686","Inhibitory"
"2687","Inhibitory"
"2688","Excitatory"
"2689","OD Mature"
"2690","Inhibitory"
"2691","Inhibitory"
"2692","Inhibitory"
"2693","Inhibitory"
"2694","Excitatory"
"2695","OD Mature"
"2696","OD Mature"
"2697","OD Mature"
"2698","Microglia"
"2699","Inhibitory"
"2700","Inhibitory"
"2701","Inhibitory"
"2702","Inhibitory"
"2703","Excitatory"
"2704","Inhibitory"
"2705","OD Mature"
"2706","Excitatory"
"2707","OD Mature"
"2708","OD Mature"
"2709","Excitatory"
"2710","OD Mature"
"2711","Mural"
"2712","Inhibitory"
"2713","OD Immature"
"2714","Inhibitory"
"2715","Inhibitory"
"2716","OD Immature"
"2717","Microglia"
"2718","Astrocyte"
"2719","Excitatory"
"2720","Inhibitory"
"2721","Excitatory"
"2722","OD Mature"
"2723","Inhibitory"
"2724","Inhibitory"
"2725","Inhibitory"
"2726","Inhibitory"
"2727","OD Mature"
"2728","Inhibitory"
"2729","OD Mature"
"2730","OD Mature"
"2731","Microglia"
"2732","OD Mature"
"2733","OD Mature"
"2734","OD Mature"
"2735","Inhibitory"
"2736","OD Mature"
"2737","OD Mature"
"2738","Excitatory"
"2739","Inhibitory"
"2740","Inhibitory"
"2741","Inhibitory"
"2742","Inhibitory"
"2743","Inhibitory"
"2744","Excitatory"
"2745","Inhibitory"
"2746","OD Immature"
"2747","Microglia"
"2748","OD Mature"
"2749","Endothelial"
"2750","OD Mature"
"2751","Inhibitory"
"2752","Inhibitory"
"2753","Inhibitory"
"2754","Inhibitory"
"2755","Endothelial"
"2756","Inhibitory"
"2757","Inhibitory"
"2758","OD Mature"
"2759","Inhibitory"
"2760","Inhibitory"
"2761","Microglia"
"2762","Excitatory"
"2763","OD Mature"
"2764","Excitatory"
"2765","Inhibitory"
"2766","OD Mature"
"2767","Inhibitory"
"2768","Inhibitory"
"2769","Inhibitory"
"2770","Excitatory"
"2771","OD Mature"
"2772","Inhibitory"
"2773","OD Mature"
"2774","OD Mature"
"2775","Inhibitory"
"2776","Inhibitory"
"2777","Inhibitory"
"2778","Inhibitory"
"2779","Inhibitory"
"2780","OD Mature"
"2781","Inhibitory"
"2782","Inhibitory"
"2783","Excitatory"
"2784","Inhibitory"
"2785","Inhibitory"
"2786","Excitatory"
"2787","Inhibitory"
"2788","Endothelial"
"2789","Inhibitory"
"2790","Inhibitory"
"2791","Excitatory"
"2792","OD Mature"
"2793","Inhibitory"
"2794","Inhibitory"
"2795","Microglia"
"2796","Inhibitory"
"2797","Inhibitory"
"2798","Inhibitory"
"2799","OD Mature"
"2800","OD Mature"
"2801","OD Mature"
"2802","Inhibitory"
"2803","Inhibitory"
"2804","Microglia"
"2805","Inhibitory"
"2806","Inhibitory"
"2807","Inhibitory"
"2808","Inhibitory"
"2809","Astrocyte"
"2810","Inhibitory"
"2811","Inhibitory"
"2812","OD Mature"
"2813","Inhibitory"
"2814","Microglia"
"2815","Microglia"
"2816","Inhibitory"
"2817","Excitatory"
"2818","OD Mature"
"2819","Inhibitory"
"2820","OD Mature"
"2821","Inhibitory"
"2822","Inhibitory"
"2823","OD Mature"
"2824","OD Immature"
"2825","OD Mature"
"2826","OD Mature"
"2827","OD Mature"
"2828","Astrocyte"
"2829","Inhibitory"
"2830","OD Immature"
"2831","OD Mature"
"2832","Inhibitory"
"2833","Inhibitory"
"2834","Inhibitory"
"2835","Inhibitory"
"2836","OD Mature"
"2837","Microglia"
"2838","Inhibitory"
"2839","Inhibitory"
"2840","Inhibitory"
"2841","Inhibitory"
"2842","Inhibitory"
"2843","OD Mature"
"2844","OD Mature"
"2845","OD Mature"
"2846","Excitatory"
"2847","Excitatory"
"2848","Inhibitory"
"2849","Inhibitory"
"2850","Excitatory"
"2851","OD Immature"
"2852","Excitatory"
"2853","Endothelial"
"2854","OD Mature"
"2855","Inhibitory"
"2856","Inhibitory"
"2857","Inhibitory"
"2858","OD Mature"
"2859","Inhibitory"
"2860","OD Immature"
"2861","Excitatory"
"2862","Inhibitory"
"2863","Excitatory"
"2864","Inhibitory"
"2865","Inhibitory"
"2866","OD Mature"
"2867","Inhibitory"
"2868","OD Mature"
"2869","Mural"
"2870","Endothelial"
"2871","Inhibitory"
"2872","Inhibitory"
"2873","Inhibitory"
"2874","Inhibitory"
"2875","Astrocyte"
"2876","Inhibitory"
"2877","Inhibitory"
"2878","Inhibitory"
"2879","Inhibitory"
"2880","Inhibitory"
"2881","OD Mature"
"2882","OD Mature"
"2883","Inhibitory"
"2884","OD Immature"
"2885","Excitatory"
"2886","OD Mature"
"2887","Astrocyte"
"2888","Inhibitory"
"2889","OD Mature"
"2890","Inhibitory"
"2891","Inhibitory"
"2892","Inhibitory"
"2893","Inhibitory"
"2894","Inhibitory"
"2895","Inhibitory"
"2896","Inhibitory"
"2897","Inhibitory"
"2898","OD Mature"
"2899","OD Mature"
"2900","Inhibitory"
"2901","Inhibitory"
"2902","Inhibitory"
"2903","Inhibitory"
"2904","Inhibitory"
"2905","Inhibitory"
"2906","Inhibitory"
"2907","OD Immature"
"2908","Inhibitory"
"2909","Excitatory"
"2910","Inhibitory"
"2911","Inhibitory"
"2912","OD Mature"
"2913","Inhibitory"
"2914","Excitatory"
"2915","Excitatory"
"2916","Inhibitory"
"2917","Inhibitory"
"2918","Inhibitory"
"2919","OD Mature"
"2920","Inhibitory"
"2921","Excitatory"
"2922","Excitatory"
"2923","OD Mature"
"2924","OD Mature"
"2925","Inhibitory"
"2926","Inhibitory"
"2927","Inhibitory"
"2928","OD Mature"
"2929","Inhibitory"
"2930","OD Mature"
"2931","OD Mature"
"2932","Inhibitory"
"2933","Inhibitory"
"2934","Inhibitory"
"2935","Inhibitory"
"2936","Excitatory"
"2937","Excitatory"
"2938","OD Mature"
"2939","Excitatory"
"2940","Inhibitory"
"2941","Inhibitory"
"2942","Inhibitory"
"2943","OD Mature"
"2944","Excitatory"
"2945","OD Immature"
"2946","Inhibitory"
"2947","Excitatory"
"2948","Inhibitory"
"2949","Inhibitory"
"2950","Microglia"
"2951","Inhibitory"
"2952","Inhibitory"
"2953","Excitatory"
"2954","OD Mature"
"2955","Inhibitory"
"2956","Inhibitory"
"2957","Mural"
"2958","OD Mature"
"2959","Inhibitory"
"2960","Inhibitory"
"2961","OD Mature"
"2962","Inhibitory"
"2963","Inhibitory"
"2964","Inhibitory"
"2965","Inhibitory"
"2966","Inhibitory"
"2967","Inhibitory"
"2968","Inhibitory"
"2969","Inhibitory"
"2970","Mural"
"2971","Endothelial"
"2972","Inhibitory"
"2973","OD Mature"
"2974","Inhibitory"
"2975","Inhibitory"
"2976","Inhibitory"
"2977","Inhibitory"
"2978","Excitatory"
"2979","OD Mature"
"2980","Inhibitory"
"2981","Inhibitory"
"2982","OD Immature"
"2983","Inhibitory"
"2984","Inhibitory"
"2985","OD Mature"
"2986","OD Mature"
"2987","Inhibitory"
"2988","Endothelial"
"2989","Inhibitory"
"2990","OD Mature"
"2991","Ependymal"
"2992","Inhibitory"
"2993","Inhibitory"
"2994","OD Immature"
"2995","OD Mature"
"2996","OD Immature"
"2997","Inhibitory"
"2998","OD Mature"
"2999","Inhibitory"
"3000","Excitatory"
"3001","Inhibitory"
"3002","Excitatory"
"3003","Inhibitory"
"3004","OD Immature"
"3005","Inhibitory"
"3006","Inhibitory"
"3007","OD Mature"
"3008","Inhibitory"
"3009","Microglia"
"3010","OD Mature"
"3011","Inhibitory"
"3012","Inhibitory"
"3013","Inhibitory"
"3014","OD Mature"
"3015","Excitatory"
"3016","Inhibitory"
"3017","OD Mature"
"3018","Inhibitory"
"3019","Excitatory"
"3020","OD Mature"
"3021","Microglia"
"3022","Inhibitory"
"3023","Excitatory"
"3024","Inhibitory"
"3025","Inhibitory"
"3026","Microglia"
"3027","Inhibitory"
"3028","Inhibitory"
"3029","Inhibitory"
"3030","Inhibitory"
"3031","Inhibitory"
"3032","Inhibitory"
"3033","Inhibitory"
"3034","Inhibitory"
"3035","Inhibitory"
"3036","Inhibitory"
"3037","Inhibitory"
"3038","Inhibitory"
"3039","Excitatory"
"3040","Inhibitory"
"3041","Mural"
"3042","Inhibitory"
"3043","Endothelial"
"3044","OD Mature"
"3045","OD Mature"
"3046","Inhibitory"
"3047","Inhibitory"
"3048","Inhibitory"
"3049","Excitatory"
"3050","Inhibitory"
"3051","Inhibitory"
"3052","Inhibitory"
"3053","Inhibitory"
"3054","Inhibitory"
"3055","Inhibitory"
"3056","Inhibitory"
"3057","OD Mature"
"3058","OD Mature"
"3059","OD Mature"
"3060","Excitatory"
"3061","OD Immature"
"3062","Inhibitory"
"3063","Inhibitory"
"3064","Inhibitory"
"3065","Inhibitory"
"3066","Inhibitory"
"3067","Inhibitory"
"3068","Astrocyte"
"3069","Inhibitory"
"3070","Inhibitory"
"3071","Inhibitory"
"3072","Inhibitory"
"3073","Inhibitory"
"3074","Inhibitory"
"3075","OD Mature"
"3076","Inhibitory"
"3077","Inhibitory"
"3078","Inhibitory"
"3079","Inhibitory"
"3080","Inhibitory"
"3081","Inhibitory"
"3082","Inhibitory"
"3083","Inhibitory"
"3084","Excitatory"
"3085","Inhibitory"
"3086","Microglia"
"3087","OD Mature"
"3088","Inhibitory"
"3089","Inhibitory"
"3090","Inhibitory"
"3091","OD Mature"
"3092","Inhibitory"
"3093","Inhibitory"
"3094","Excitatory"
"3095","Inhibitory"
"3096","OD Immature"
"3097","Inhibitory"
"3098","Inhibitory"
"3099","Inhibitory"
"3100","Inhibitory"
"3101","Inhibitory"
"3102","Inhibitory"
"3103","Inhibitory"
"3104","OD Mature"
"3105","Inhibitory"
"3106","Inhibitory"
"3107","OD Immature"
"3108","Inhibitory"
"3109","Inhibitory"
"3110","Inhibitory"
"3111","OD Mature"
"3112","Inhibitory"
"3113","OD Mature"
"3114","Inhibitory"
"3115","OD Mature"
"3116","OD Mature"
"3117","Microglia"
"3118","Inhibitory"
"3119","Excitatory"
"3120","Inhibitory"
"3121","Excitatory"
"3122","Inhibitory"
"3123","Inhibitory"
"3124","Inhibitory"
"3125","Inhibitory"
"3126","OD Mature"
"3127","OD Mature"
"3128","Inhibitory"
"3129","Inhibitory"
"3130","Inhibitory"
"3131","Inhibitory"
"3132","Mural"
"3133","OD Immature"
"3134","Inhibitory"
"3135","OD Mature"
"3136","Inhibitory"
"3137","OD Immature"
"3138","Inhibitory"
"3139","OD Mature"
"3140","OD Mature"
"3141","OD Immature"
"3142","Inhibitory"
"3143","Inhibitory"
"3144","Inhibitory"
"3145","Excitatory"
"3146","Inhibitory"
"3147","Inhibitory"
"3148","Inhibitory"
"3149","Inhibitory"
"3150","Microglia"
"3151","Inhibitory"
"3152","Inhibitory"
"3153","Endothelial"
"3154","Endothelial"
"3155","Inhibitory"
"3156","Inhibitory"
"3157","OD Mature"
"3158","Inhibitory"
"3159","OD Mature"
"3160","Excitatory"
"3161","Inhibitory"
"3162","Inhibitory"
"3163","OD Mature"
"3164","Inhibitory"
"3165","OD Mature"
"3166","Inhibitory"
"3167","OD Mature"
"3168","Microglia"
"3169","OD Mature"
"3170","Inhibitory"
"3171","OD Immature"
"3172","Excitatory"
"3173","Inhibitory"
"3174","Astrocyte"
"3175","Inhibitory"
"3176","Mural"
"3177","OD Mature"
"3178","Inhibitory"
"3179","OD Mature"
"3180","Inhibitory"
"3181","Inhibitory"
"3182","Excitatory"
"3183","Inhibitory"
"3184","Inhibitory"
"3185","OD Mature"
"3186","OD Immature"
"3187","Inhibitory"
"3188","OD Mature"
"3189","Inhibitory"
"3190","Inhibitory"
"3191","OD Mature"
"3192","Inhibitory"
"3193","OD Mature"
"3194","Inhibitory"
"3195","OD Mature"
"3196","OD Immature"
"3197","OD Mature"
"3198","Excitatory"
"3199","Inhibitory"
"3200","OD Immature"
"3201","OD Mature"
"3202","Inhibitory"
"3203","Inhibitory"
"3204","Inhibitory"
"3205","Excitatory"
"3206","Inhibitory"
"3207","Microglia"
"3208","Microglia"
"3209","Excitatory"
"3210","OD Immature"
"3211","Inhibitory"
"3212","Inhibitory"
"3213","Microglia"
"3214","Inhibitory"
"3215","Inhibitory"
"3216","Microglia"
"3217","OD Mature"
"3218","Inhibitory"
"3219","Inhibitory"
"3220","Inhibitory"
"3221","OD Mature"
"3222","Inhibitory"
"3223","Inhibitory"
"3224","Inhibitory"
"3225","Inhibitory"
"3226","Astrocyte"
"3227","Inhibitory"
"3228","Inhibitory"
"3229","OD Immature"
"3230","Inhibitory"
"3231","Excitatory"
"3232","OD Mature"
"3233","Excitatory"
"3234","OD Mature"
"3235","Inhibitory"
"3236","Inhibitory"
"3237","Inhibitory"
"3238","Microglia"
"3239","Inhibitory"
"3240","Inhibitory"
"3241","Excitatory"
"3242","OD Immature"
"3243","OD Immature"
"3244","OD Mature"
"3245","Excitatory"
"3246","Inhibitory"
"3247","Inhibitory"
"3248","Inhibitory"
"3249","OD Mature"
"3250","Inhibitory"
"3251","Inhibitory"
"3252","OD Mature"
"3253","Inhibitory"
"3254","Inhibitory"
"3255","Inhibitory"
"3256","Excitatory"
"3257","Inhibitory"
"3258","OD Immature"
"3259","Inhibitory"
"3260","Inhibitory"
"3261","Inhibitory"
"3262","Excitatory"
"3263","Inhibitory"
"3264","Inhibitory"
"3265","Excitatory"
"3266","OD Mature"
"3267","Excitatory"
"3268","Inhibitory"
"3269","OD Mature"
"3270","OD Mature"
"3271","OD Mature"
"3272","Excitatory"
"3273","Inhibitory"
"3274","OD Mature"
"3275","Inhibitory"
"3276","Inhibitory"
"3277","Excitatory"
"3278","Inhibitory"
"3279","Inhibitory"
"3280","OD Mature"
"3281","Inhibitory"
"3282","Inhibitory"
"3283","Mural"
"3284","OD Mature"
"3285","Excitatory"
"3286","Inhibitory"
"3287","Excitatory"
"3288","Inhibitory"
"3289","Excitatory"
"3290","Inhibitory"
"3291","Inhibitory"
"3292","Inhibitory"
"3293","Inhibitory"
"3294","Inhibitory"
"3295","OD Mature"
"3296","Inhibitory"
"3297","OD Immature"
"3298","Microglia"
"3299","OD Immature"
"3300","OD Mature"
"3301","Inhibitory"
"3302","Inhibitory"
"3303","Inhibitory"
"3304","OD Mature"
"3305","Inhibitory"
"3306","Inhibitory"
"3307","Inhibitory"
"3308","Astrocyte"
"3309","Inhibitory"
"3310","Inhibitory"
"3311","Inhibitory"
"3312","OD Mature"
"3313","Inhibitory"
"3314","Inhibitory"
"3315","Excitatory"
"3316","Inhibitory"
"3317","Inhibitory"
"3318","Inhibitory"
"3319","Microglia"
"3320","Inhibitory"
"3321","Inhibitory"
"3322","Inhibitory"
"3323","Inhibitory"
"3324","Microglia"
"3325","Inhibitory"
"3326","Inhibitory"
"3327","Excitatory"
"3328","Excitatory"
"3329","Excitatory"
"3330","Inhibitory"
"3331","Excitatory"
"3332","Excitatory"
"3333","OD Immature"
"3334","Inhibitory"
"3335","Inhibitory"
"3336","Microglia"
"3337","Endothelial"
"3338","OD Mature"
"3339","OD Mature"
"3340","Inhibitory"
"3341","Microglia"
"3342","Inhibitory"
"3343","OD Mature"
"3344","Inhibitory"
"3345","OD Mature"
"3346","Excitatory"
"3347","Inhibitory"
"3348","Mural"
"3349","OD Mature"
"3350","Inhibitory"
"3351","Inhibitory"
"3352","OD Immature"
"3353","Inhibitory"
"3354","Inhibitory"
"3355","Inhibitory"
"3356","Inhibitory"
"3357","OD Mature"
"3358","Inhibitory"
"3359","OD Mature"
"3360","Inhibitory"
"3361","OD Mature"
"3362","Inhibitory"
"3363","Excitatory"
"3364","Inhibitory"
"3365","OD Mature"
"3366","OD Mature"
"3367","Excitatory"
"3368","Inhibitory"
"3369","OD Immature"
"3370","Endothelial"
"3371","Excitatory"
"3372","Inhibitory"
"3373","OD Mature"
"3374","OD Mature"
"3375","Excitatory"
"3376","Inhibitory"
"3377","Inhibitory"
"3378","Excitatory"
"3379","OD Immature"
"3380","Inhibitory"
"3381","Inhibitory"
"3382","Inhibitory"
"3383","Inhibitory"
"3384","OD Mature"
"3385","Inhibitory"
"3386","Astrocyte"
"3387","Inhibitory"
"3388","Mural"
"3389","Excitatory"
"3390","OD Mature"
"3391","Inhibitory"
"3392","Excitatory"
"3393","Inhibitory"
"3394","Inhibitory"
"3395","Inhibitory"
"3396","Endothelial"
"3397","Excitatory"
"3398","OD Mature"
"3399","Mural"
"3400","Inhibitory"
"3401","Microglia"
"3402","OD Mature"
"3403","Inhibitory"
"3404","Inhibitory"
"3405","Inhibitory"
"3406","Microglia"
"3407","Inhibitory"
"3408","Inhibitory"
"3409","Excitatory"
"3410","OD Mature"
"3411","Inhibitory"
"3412","Inhibitory"
"3413","Inhibitory"
"3414","Microglia"
"3415","OD Mature"
"3416","Inhibitory"
"3417","Excitatory"
"3418","Excitatory"
"3419","OD Mature"
"3420","Inhibitory"
"3421","Excitatory"
"3422","Excitatory"
"3423","Inhibitory"
"3424","Inhibitory"
"3425","OD Mature"
"3426","Inhibitory"
"3427","Inhibitory"
"3428","Inhibitory"
"3429","Inhibitory"
"3430","Excitatory"
"3431","Inhibitory"
"3432","Inhibitory"
"3433","Inhibitory"
"3434","Excitatory"
"3435","Inhibitory"
"3436","Inhibitory"
"3437","Inhibitory"
"3438","Inhibitory"
"3439","Inhibitory"
"3440","Inhibitory"
"3441","Endothelial"
"3442","Mural"
"3443","Excitatory"
"3444","Inhibitory"
"3445","OD Mature"
"3446","Inhibitory"
"3447","Inhibitory"
"3448","Inhibitory"
"3449","Inhibitory"
"3450","Inhibitory"
"3451","OD Mature"
"3452","Inhibitory"
"3453","OD Mature"
"3454","Inhibitory"
"3455","Excitatory"
"3456","Excitatory"
"3457","Inhibitory"
"3458","Inhibitory"
"3459","OD Immature"
"3460","OD Mature"
"3461","Inhibitory"
"3462","Inhibitory"
"3463","Excitatory"
"3464","Inhibitory"
"3465","Inhibitory"
"3466","Endothelial"
"3467","Excitatory"
"3468","Inhibitory"
"3469","OD Mature"
"3470","OD Mature"
"3471","Inhibitory"
"3472","OD Mature"
"3473","Excitatory"
"3474","Inhibitory"
"3475","Inhibitory"
"3476","Inhibitory"
"3477","OD Mature"
"3478","Inhibitory"
"3479","OD Immature"
"3480","Inhibitory"
"3481","Inhibitory"
"3482","Excitatory"
"3483","Inhibitory"
"3484","Inhibitory"
"3485","Inhibitory"
"3486","Excitatory"
"3487","OD Mature"
"3488","Inhibitory"
"3489","Microglia"
"3490","Excitatory"
"3491","OD Mature"
"3492","OD Mature"
"3493","OD Mature"
"3494","OD Mature"
"3495","OD Mature"
"3496","OD Mature"
"3497","Excitatory"
"3498","OD Immature"
"3499","Excitatory"
"3500","OD Immature"
"3501","OD Mature"
"3502","Excitatory"
"3503","Endothelial"
"3504","Mural"
"3505","OD Immature"
"3506","Microglia"
"3507","OD Mature"
"3508","Endothelial"
"3509","OD Mature"
"3510","OD Mature"
"3511","Excitatory"
"3512","OD Mature"
"3513","OD Mature"
"3514","OD Immature"
"3515","OD Mature"
"3516","OD Immature"
"3517","OD Mature"
"3518","OD Immature"
"3519","OD Immature"
"3520","OD Mature"
"3521","OD Mature"
"3522","OD Mature"
"3523","Microglia"
"3524","Mural"
"3525","OD Mature"
"3526","Microglia"
"3527","OD Mature"
"3528","Mural"
"3529","OD Mature"
"3530","OD Mature"
"3531","OD Mature"
"3532","OD Mature"
"3533","OD Mature"
"3534","OD Mature"
"3535","OD Mature"
"3536","Excitatory"
"3537","OD Immature"
"3538","OD Immature"
"3539","OD Immature"
"3540","Excitatory"
"3541","Excitatory"
"3542","OD Mature"
"3543","Excitatory"
"3544","Excitatory"
"3545","OD Mature"
"3546","Excitatory"
"3547","OD Mature"
"3548","OD Immature"
"3549","Excitatory"
"3550","OD Immature"
"3551","Astrocyte"
"3552","Excitatory"
"3553","Mural"
"3554","OD Mature"
"3555","Excitatory"
"3556","OD Immature"
"3557","Excitatory"
"3558","Endothelial"
"3559","OD Immature"
"3560","OD Mature"
"3561","OD Immature"
"3562","OD Mature"
"3563","Endothelial"
"3564","Microglia"
"3565","Excitatory"
"3566","OD Immature"
"3567","OD Mature"
"3568","OD Immature"
"3569","Excitatory"
"3570","OD Mature"
"3571","OD Mature"
"3572","Astrocyte"
"3573","OD Immature"
"3574","OD Mature"
"3575","OD Mature"
"3576","OD Mature"
"3577","Microglia"
"3578","OD Mature"
"3579","OD Immature"
"3580","OD Mature"
"3581","OD Mature"
"3582","Excitatory"
"3583","Excitatory"
"3584","OD Mature"
"3585","Excitatory"
"3586","OD Mature"
"3587","OD Mature"
"3588","OD Mature"
"3589","OD Mature"
"3590","OD Mature"
"3591","OD Mature"
"3592","Excitatory"
"3593","Mural"
"3594","Excitatory"
"3595","Excitatory"
"3596","OD Mature"
"3597","OD Mature"
"3598","OD Mature"
"3599","OD Mature"
"3600","Excitatory"
"3601","OD Mature"
"3602","OD Mature"
"3603","Mural"
"3604","Excitatory"
"3605","OD Mature"
"3606","OD Mature"
"3607","OD Mature"
"3608","Excitatory"
"3609","OD Immature"
"3610","OD Mature"
"3611","OD Mature"
"3612","OD Mature"
"3613","Excitatory"
"3614","OD Mature"
"3615","Astrocyte"
"3616","OD Immature"
"3617","OD Mature"
"3618","OD Mature"
"3619","Microglia"
"3620","OD Immature"
"3621","Astrocyte"
"3622","OD Mature"
"3623","OD Mature"
"3624","OD Immature"
"3625","OD Mature"
"3626","Excitatory"
"3627","OD Mature"
"3628","Excitatory"
"3629","Excitatory"
"3630","Excitatory"
"3631","Endothelial"
"3632","Excitatory"
"3633","OD Mature"
"3634","OD Mature"
"3635","OD Mature"
"3636","OD Mature"
"3637","Excitatory"
"3638","Excitatory"
"3639","Excitatory"
"3640","Endothelial"
"3641","Mural"
